Count,Sampled_r1,Sampled_r2,Sampled_ima1,Sampled_ima2,Sampled_5V
1380000,1263,1318,2211,2244,2461
1380000,1263,1317,2210,2244,2456
1650000,1262,1315,2211,2246,2461
1650000,1319,1379,2190,2218,2456
1650000,1321,1378,2190,2217,2460
1650000,1321,1379,2190,2218,2458
1650000,1320,1379,2190,2218,2459
1650000,1321,1379,2190,2218,2457
1650000,1321,1379,2191,2218,2460
1650000,1320,1378,2189,2218,2454
1650000,1320,1379,2190,2218,2457
1650000,1321,1379,2190,2217,2457
1650000,1321,1378,2190,2218,2458
1650000,1321,1378,2189,2218,2457
1650000,1321,1379,2190,2218,2457
1650000,1320,1379,2190,2218,2459
1650000,1319,1379,2189,2218,2457
1650000,1321,1378,2190,2217,2457
1650000,1320,1379,2190,2217,2458
1650000,1320,1379,2190,2218,2455
1650000,1321,1379,2190,2218,2458
1650000,1319,1379,2190,2217,2457
1650000,1321,1379,2190,2218,2458
1650000,1320,1380,2190,2217,2458
1650000,1319,1379,2190,2217,2456
1650000,1321,1378,2189,2218,2458
1650000,1321,1380,2190,2218,2459
1650000,1321,1379,2189,2218,2459
1650000,1320,1379,2190,2219,2459
1650000,1321,1379,2189,2217,2455
1650000,1321,1379,2189,2217,2460
1650000,1320,1378,2190,2218,2460
1650000,1321,1379,2189,2217,2455
1650000,1320,1379,2189,2218,2459
1650000,1321,1379,2190,2218,2460
1650000,1320,1379,2190,2219,2459
1650000,1320,1379,2190,2217,2460
1650000,1321,1378,2190,2218,2457
1650000,1321,1379,2190,2218,2460
1650000,1322,1379,2190,2218,2456
1650000,1321,1379,2190,2217,2458
1650000,1321,1379,2189,2218,2459
1650000,1320,1378,2189,2218,2459
1650000,1320,1379,2189,2218,2459
1650000,1321,1379,2189,2217,2459
1650000,1320,1378,2189,2217,2455
1650000,1321,1378,2189,2217,2459
1650000,1319,1379,2188,2217,2455
1650000,1321,1379,2190,2217,2456
1650000,1320,1378,2190,2218,2459
1650000,1320,1379,2189,2218,2457
1980000,1321,1379,2189,2217,2459
1980000,1382,1435,2164,2181,2459
1980000,1383,1436,2164,2182,2456
1980000,1382,1435,2164,2181,2460
1980000,1381,1436,2163,2182,2456
1980000,1383,1436,2163,2181,2457
1980000,1383,1436,2163,2181,2456
1980000,1382,1435,2163,2181,2459
1980000,1382,1435,2164,2182,2459
1980000,1383,1435,2163,2181,2454
1980000,1382,1436,2164,2182,2460
1980000,1382,1435,2163,2181,2456
1980000,1383,1435,2163,2182,2457
1980000,1382,1436,2164,2182,2456
1980000,1382,1436,2164,2182,2458
1980000,1382,1435,2163,2181,2457
1980000,1382,1435,2163,2182,2456
1980000,1382,1435,2163,2181,2459
1980000,1382,1436,2164,2182,2459
1980000,1382,1435,2163,2182,2457
1980000,1382,1436,2164,2182,2458
1980000,1381,1436,2163,2182,2462
1980000,1382,1435,2164,2181,2460
1980000,1382,1436,2163,2182,2457
1980000,1382,1436,2163,2182,2462
1980000,1381,1435,2164,2182,2458
1980000,1382,1435,2163,2182,2459
1980000,1382,1436,2163,2182,2459
1980000,1381,1436,2163,2182,2455
1980000,1381,1436,2164,2182,2456
1980000,1381,1434,2162,2181,2457
