Time,Impedance magnitude of 1th pair of electrodes,Impedance magnitude of 2nd pair of electrodes,Phase1,Phase 2
0,-24.4814029460402,66.7564322186876,0.0094794115118478,-0.0390718600954643
0.000183116645303016,-185.942838103374,509.464765099194,0.0710980889816527,-0.297488335534543
0.000366233290606033,-581.512337610253,1633.32870228157,0.216919863147844,-0.959606941554329
0.000549349935909049,-940.020476798565,2836.87644863408,0.334272610860472,-1.69855271052604
0.000732466581212066,-815.612319971198,2970.21390547206,0.261522154859581,-1.83132131095766
0.000915583226515082,-461.062173117758,2348.90619903989,0.119386982072586,-1.43923139944435
0.0010986998718181,-525.320446095175,2312.32331578394,0.139487479302631,-1.31621942852591
0.00128181651712111,-780.017114777245,2641.61411802481,0.215131627273562,-1.55576187735621
0.00146493316242413,-707.710540808519,2483.90700543973,0.224913381583208,-1.58069838474421
0.00164804980772715,-658.835921970434,2368.67222175618,0.325101818605626,-1.3469010632335
0.00183116645303016,-820.293962647337,2592.5523175935,0.422246971776601,-1.28682345344884
0.00201428309833318,-741.33056330457,2559.12746827612,0.292452064081833,-1.50517088950408
0.0021973997436362,-604.873344988555,2434.98261737531,0.190712665393879,-1.67372154131944
0.00238051638893921,-793.317602848809,2516.09889159835,0.307552313770629,-1.58805707120744
0.00256363303424223,-861.056181182169,2450.22040041394,0.313390995860074,-1.53401197526826
0.00274674967954525,-622.867229241549,2370.44769886979,0.126276160587323,-1.70366843564682
0.0395531953854604,-607.419647097817,2522.96669681623,0.104783046431759,-1.71318107931841
0.0426661783556117,-834.105297241629,2503.21375082624,0.272646428664365,-1.37793208200844
0.0428492950009147,-872.697743534427,2260.90555265738,0.321076848850949,-1.13468976650223
0.0430324116462177,-783.496803290392,2188.65286201885,0.262808649633101,-1.18716546823969
0.0432155282915208,-801.688206655796,2310.41877768604,0.284901611228167,-1.3163372382021
0.0433986449368238,-795.677661724988,2522.4888791466,0.280232174386575,-1.50426338920086
0.0435817615821268,-685.021599480877,2649.55434839838,0.163677148040342,-1.68647846534997
0.0437648782274298,-673.408859341863,2468.72910171896,0.110643982982644,-1.63010121695281
0.0439479948727328,-752.397615533392,2337.44494263919,0.140895019705235,-1.57490229570446
0.0441311115180358,-718.741970408911,2529.79329380466,0.154978939229362,-1.72580962595236
0.0443142281633389,-687.067923968558,2539.28492403689,0.236752179905012,-1.66263641011927
0.0444973448086436,-782.48445541274,2322.4675127376,0.321053032932529,-1.40549081941372
0.0446804614539467,-780.187440032556,2435.9343020022,0.193393024240885,-1.47879216132369
0.0448635780992497,-686.343092558576,2609.78310548253,0.0698266618089897,-1.63952382265307
0.0450466947445527,-770.393846395373,2370.70455633159,0.268130009985607,-1.44015200093844
